title,price,bed,bath,area(sq.ft.)
"16869 Glastonbury Road Detroit, MI 48219","160,000",3,1.5,"1,476"
"15776 Littlefield Street Detroit, MI 48227","54,900",3,1.5,"1,501"
"13517 Santa Rosa Drive Detroit, MI 48238","249,000",4,2,"2,100"
"506 Kenilworth Street Detroit, MI 48202","449,900",8,4,"3,280"
".jbEdKX{display:grid;padding-left:0px;list-style-type:none;grid-gap:16px;}/*!sc*/
.jbEdKX .uc-nearbySearch-link:nth-of-type(1n+6){display:none;}/*!sc*/
data-styled.g262[id=""sc-hKMtZM""]{content:""jbEdKX,""}/*!sc*/
.eUnTFS{display:-webkit-box;display:-webkit-flex;display:-ms-flexbox;display:flex;-webkit-box-pack:center;-webkit-justify-content:center;-ms-flex-pack:center;justify-content:center;padding:0 var(--gutter--xs);width:100%;height:30px;margin-bottom:34px;}/*!sc*/
@media (min-width:768px){.eUnTFS{padding:0 var(--cx-spacing-gutter);margin-bottom:var(--cx-spacing-gutter);}}/*!sc*/
data-styled.g281[id=""BreadcrumbsContainer-sc-1ealiu1""]{content:""eUnTFS,""}/*!sc*/
.fuYfTY{white-space:nowrap;overflow-x:auto;}/*!sc*/
data-styled.g282[id=""BreadcrumbsList-sc-1raiwpa""]{content:""fuYfTY,""}/*!sc*/
.gMqXXr{display:block;height:80px;}/*!sc*/
@media (min-width:768px){.gMqXXr{display:none;}}/*!sc*/
data-styled.g291[id=""MapButtonPadding-sc-1py0i6t""]{content:""gMqXXr,""}/*!sc*/
.epiKAk{margin:24px;margin-top:0;}/*!sc*/
.epiKAk > *{margin:0;}/*!sc*/
data-styled.g292[id=""NearbySearchContainer-sc-32lit1""]{content:""epiKAk,""}/*!sc*/
 8051 Penrod Street Detroit, MI 48228","59,900",3,1,897
"15898 Asbury Park Detroit, MI 48227","129,900",4,2,"1,633"
"2333-2335 Ferris Street Detroit, MI 48209","99,900",5,2,"2,120"
"17527 Indiana Street Detroit, MI 48221","170,000",6,2,"2,340"
"8857 Charlevoix Street Detroit, MI 48214","60,000",4,1,"1,157"
"15055 Coyle Street Detroit, MI 48227","80,000",3,1,"1,272"
"3769 Holborn Street Detroit, MI 48211","80,000",3,1,850
"5085 Marseilles Street Detroit, MI 48224","79,900",3,1,"1,018"
"10526 Outer Drive West Detroit, MI 48223","84,900",3,1.5,"1,290"
"19947 Lahser Road Detroit, MI 48219","135,000",4,2,"1,878"
"13590 Mettetal Street Detroit, MI 48227","79,900",3,1,"1,558"
"19170 Mansfield Street Detroit, MI 48235","69,000",3,1,"1,040"
"2675 West Buena Vista Street Detroit, MI 48238","199,000",4,4,"3,130"
"15080 Steel Street Detroit, MI 48227","65,000",4,1.5,"1,296"
"17706 Greenview Avenue Detroit, MI 48219","95,000",3,1.5,"1,149"
"9050 Artesian Street Detroit, MI 48228","59,900",3,2,963
"20100 Ferguson Street Detroit, MI 48235","74,900",3,2,962
"7780 Mansfield Street Detroit, MI 48228","59,900",3,1,"1,020"
"18901 Burgess Detroit, MI 48219","59,500",3,1.5,"1,318"
"8430 Vaughan Street Detroit, MI 48228","54,500",3,1,900
"2675 W Buena Vista Street Detroit, MI 48238","199,000",4,4,"3,130"
"19957 Archdale Street Detroit, MI 48235","69,000",3,1,819
"2150-2152 Crane Street Detroit, MI 48214","189,900",4,2,"1,918"
"15908 Asbury Park Detroit, MI 48227","94,400",3,1.5,998
"16874 Marlowe Street Detroit, MI 48235","93,800",3,1,994
"19929 Monte Vista Street Detroit, MI 48221","69,999",3,1,860
"2956 Clements Street Detroit, MI 48238","85,000",6,2,"2,500"
"15446 Sorrento Avenue Detroit, MI 48227","58,000",3,1,"1,060"
"15046 Appoline Street Detroit, MI 48227","54,000",3,1,"1,305"
"4180 Dickerson Avenue Detroit, MI 48215","75,000",3,1,"1,036"
"20128 Prairie Street Detroit, MI 48221","74,800",3,1,"1,188"
"20560 Glastonbury Road Detroit, MI 48219","75,000",3,1,"1,000"
"14358 Rutherford Street Detroit, MI 48227","90,000",3,1.5,"1,555"
"19552 Hamburg Street Detroit, MI 48205","50,000",3,2,962
"18716 Goulburn Avenue Detroit, MI 48205","75,000",3,1,986
"17186 Ohio Street Detroit, MI 48221","131,250",3,1.5,"1,583"
"20084 Gilchrist Street Detroit, MI 48235","97,500",3,1,"1,146"
"11337 Terry Street Detroit, MI 48227","58,900",3,1,"1,240"
"15329 Sussex Street Detroit, MI 48227","85,000",3,1.5,"1,232"
"18713 Glastonbury Road Detroit, MI 48219","90,000",3,1,"1,131"
"2675 West Buena Vista Street Detroit, MI 48238","199,000",4,3.5,"3,130"
"12709 Riverdale Avenue Detroit, MI 48223","79,900",3,1,"1,254"
"0 Crane Street Detroit, MI 48214","189,900",4,2,"1,918"
"8632 Braile Street Detroit, MI 48228","55,000",3,1,875
"16846 Asbury Park Detroit, MI 48235","85,900",3,1,"1,226"
"11643 Sussex Street Detroit, MI 48227","65,000",3,1,"1,561"
"15737 Chapel Street Detroit, MI 48223","59,000",3,1.5,"1,038"
"4251 Wayburn Street Detroit, MI 48224","130,500",3,1.5,"1,326"
"12265 Elmdale Street Detroit, MI 48213","64,900",3,1,"1,116"
"14820 Mark Twain Street Detroit, MI 48227","67,400",3,2,"1,294"
"15470 Park Grove Street Detroit, MI 48205","70,000",3,1,"1,102"
"7508 Asbury Park Detroit, MI 48228","63,000",3,1,904
"20180 Mendota Street Detroit, MI 48221","56,900",3,1.5,705
"2675 W Buena Vista Street Detroit, MI 48238","199,000",4,3.5,"3,130"
"16137 Hartwell Street Detroit, MI 48235","66,000",3,1,"1,348"
"3322 Northwestern Street Detroit, MI 48206","100,000",10,1.5,"1,575"
"9730 Wyoming Avenue Detroit, MI 48204","555,000",10,12,"7,368"
"16260 Washburn Street Detroit, MI 48221","71,000",3,1.5,"1,250"
"18697 Rutherford Street Detroit, MI 48235","69,000",3,1,"1,311"
"2056 Glynn Court Detroit, MI 48206","110,000",4,2.5,"2,169"
"3937 Harold Street Hamtramck, MI 48212","189,000",4,2,"1,580"
"20411 Northlawn Street Detroit, MI 48221","60,000",3,1,910
"19460 Burgess Detroit, MI 48219","69,000",3,1,988
"18626 Prevost Street Detroit, MI 48235","71,000",3,1,832
"18235 Freeland Street Detroit, MI 48235","71,000",3,1,"1,050"
"14914 Marlowe Street Detroit, MI 48227","71,000",3,1,"1,332"
"18284 Littlefield Street Detroit, MI 48235","110,600",3,1.5,"1,538"
"18953 Lindsay Street Detroit, MI 48235","94,400",3,1,869
"4335 Lakepointe Street Detroit, MI 48224","99,900",4,2,"1,396"
"16250 Snowden Street Detroit, MI 48235","71,000",3,1.5,"1,435"
"9560 Stout Street Detroit, MI 48228","71,000",3,1,"1,053"
"9474 Manistique Street Detroit, MI 48224","54,800",3,1.5,"1,019"
"14257 Bramell Detroit, MI 48223","94,400",3,1,979
